com.samsung.shealth.activity.day_summary,6100041,2
others_time,goal,longest_idle_time,create_time,distance,run_time,step_count,walk_time,day_time,target,deviceuuid,active_time,score,pkg_name,update_time,longest_active_time,datauuid,extra_data,calorie
0,60,63060000,2020-01-09 23:00:00.807,81.03168,4800,92,53360,1578614400000,,yFuc3cHWzI,58160,0,com.sec.android.app.shealth,2020-01-10 17:45:07.863,32016,53e4640e-7771-4b30-b737-788a6539a60f,53e4640e-7771-4b30-b737-788a6539a60f.extra_data.json,4.1935215,
0,60,34680000,2020-01-10 23:00:00.436,2446.023,56999,2981,1731951,1578700800000,,yFuc3cHWzI,1788950,46,com.sec.android.app.shealth,2020-01-11 20:05:16.465,180000,c4632d48-3d4b-4a03-bcf3-09e4c498aceb,c4632d48-3d4b-4a03-bcf3-09e4c498aceb.extra_data.json,116.069115,
0,60,40020000,2019-12-13 23:00:00.740,845.85156,45200,951,558946,1576281600000,,yFuc3cHWzI,604146,15,com.sec.android.app.shealth,2019-12-14 22:18:11.886,49489,610ef480-5e8a-492d-aa46-48b4c2cb9349,610ef480-5e8a-492d-aa46-48b4c2cb9349.extra_data.json,43.00714,
0,60,26820000,2019-11-20 23:00:01.532,5027.944,164603,5928,3134944,1574294400000,,yFuc3cHWzI,3299547,90,com.sec.android.app.shealth,2019-11-21 21:36:36.260,1625601,7cbce696-d5be-4579-b7eb-9baba59cc640,7cbce696-d5be-4579-b7eb-9baba59cc640.extra_data.json,242.87529,
0,60,37200000,2020-01-05 23:00:01.158,2326.215,149678,2713,1333508,1578268800000,,yFuc3cHWzI,1483186,40,com.sec.android.app.shealth,2020-01-06 20:33:03.080,420000,09067097-c955-499d-90a1-1a133eac98f2,09067097-c955-499d-90a1-1a133eac98f2.extra_data.json,115.09826,
0,60,28320000,2019-12-19 23:00:00.492,7030.92,57114,8622,4809009,1576800000000,,yFuc3cHWzI,4866123,133,com.sec.android.app.shealth,2019-12-20 21:54:39.934,1584825,957af802-e264-4722-8a12-9c94693ec2b0,957af802-e264-4722-8a12-9c94693ec2b0.extra_data.json,327.5879,
0,60,26400000,2020-01-16 23:00:00.606,4390.765,475448,4834,2260030,1579219200000,,yFuc3cHWzI,2735478,73,com.sec.android.app.shealth,2020-01-17 18:47:35.243,240000,76f159ec-28e5-49c2-a379-10c3f9e56f33,76f159ec-28e5-49c2-a379-10c3f9e56f33.extra_data.json,238.42575,
0,60,27720000,2019-11-26 23:00:01.092,4470.105,44945,5576,3052277,1574812800000,,yFuc3cHWzI,3097222,83,com.sec.android.app.shealth,2019-11-27 22:52:31.393,1288304,0ed5231c-de21-4c66-a882-7175ad8f9890,0ed5231c-de21-4c66-a882-7175ad8f9890.extra_data.json,204.5386,
0,60,25800000,2020-01-15 23:00:01.233,5219.134,679773,5609,2238509,1579132800000,,yFuc3cHWzI,2918282,80,com.sec.android.app.shealth,2020-01-16 20:12:51.828,480000,714c87c9-2249-48a2-9eb6-67b211d33b78,714c87c9-2249-48a2-9eb6-67b211d33b78.extra_data.json,292.58206,
0,60,38520000,2020-01-11 23:00:00.732,1427.6089,25600,1706,955631,1578787200000,,yFuc3cHWzI,981231,25,com.sec.android.app.shealth,2020-01-12 20:44:41.095,360000,02a20faa-078b-4f29-82e1-945f54d7dc0a,02a20faa-078b-4f29-82e1-945f54d7dc0a.extra_data.json,66.418106,
0,60,43740000,2019-12-25 23:00:00.766,1506.5732,44260,1788,1023118,1577318400000,,yFuc3cHWzI,1067378,28,com.sec.android.app.shealth,2019-12-26 22:53:02.228,180000,16f978ab-1ec2-4255-a593-8f7bbe694854,16f978ab-1ec2-4255-a593-8f7bbe694854.extra_data.json,72.45355,
0,60,32520000,2019-12-02 23:00:00.983,4410.365,31877,5337,2788760,1575331200000,,yFuc3cHWzI,2820637,76,com.sec.android.app.shealth,2019-12-03 22:15:43.024,1369358,65eea40b-e001-49ca-aa7a-0a0b69ade659,65eea40b-e001-49ca-aa7a-0a0b69ade659.extra_data.json,204.04678,
0,60,29220000,2020-01-22 23:00:01.125,5860.418,89455,7250,4230839,1579737600000,,yFuc3cHWzI,4320294,118,com.sec.android.app.shealth,2020-01-23 21:50:26.018,600000,83156569-41ca-45c2-a7a0-9fa6a6f29a63,83156569-41ca-45c2-a7a0-9fa6a6f29a63.extra_data.json,272.45444,
0,60,29340000,2020-01-21 23:00:00.445,5792.2285,66108,7024,4027766,1579651200000,,yFuc3cHWzI,4093874,113,com.sec.android.app.shealth,2020-01-22 18:07:23.092,674125,e0e058a2-256f-40ee-855a-c474efa8af5b,e0e058a2-256f-40ee-855a-c474efa8af5b.extra_data.json,269.73575,
0,60,37680000,2019-12-08 23:00:00.565,5490.545,24400,6810,3649846,1575849600000,,yFuc3cHWzI,3674246,100,com.sec.android.app.shealth,2019-12-09 20:08:53.269,1626388,acd49413-8465-444f-a0f0-a74e6e07c5f7,acd49413-8465-444f-a0f0-a74e6e07c5f7.extra_data.json,250.38878,
0,60,23880000,2020-01-17 23:00:00.648,4414.9517,210700,5146,2981253,1579305600000,,yFuc3cHWzI,3191953,86,com.sec.android.app.shealth,2020-01-18 21:48:30.567,180000,9d9e1cc2-1643-40c8-bc12-95f45b84461e,9d9e1cc2-1643-40c8-bc12-95f45b84461e.extra_data.json,221.94687,
0,60,33660000,2019-12-31 23:00:00.471,483.58676,30800,482,270135,1577836800000,,yFuc3cHWzI,300935,6,com.sec.android.app.shealth,2020-01-01 21:54:11.873,51490,484c877d-7ac8-47f3-8a91-b2e68017ba8c,484c877d-7ac8-47f3-8a91-b2e68017ba8c.extra_data.json,26.384777,
0,60,30960000,2020-01-28 23:00:00.521,5743.3423,89440,7138,4143879,1580256000000,,yFuc3cHWzI,4233319,116,com.sec.android.app.shealth,2020-01-29 17:39:44.638,669060,27240fc5-e3e2-44f4-accb-a7c3f07fb1ea,27240fc5-e3e2-44f4-accb-a7c3f07fb1ea.extra_data.json,268.80933,
0,60,30780000,2020-01-27 23:00:00.572,5248.97,53349,6524,3795995,1580169600000,,yFuc3cHWzI,3849344,105,com.sec.android.app.shealth,2020-01-28 22:41:58.946,665495,b029e648-d72e-473f-b15b-552dcfad1c0b,b029e648-d72e-473f-b15b-552dcfad1c0b.extra_data.json,243.61385,
0,60,31620000,2020-01-23 23:00:00.466,6985.1562,431102,8177,4069088,1579824000000,,yFuc3cHWzI,4500190,123,com.sec.android.app.shealth,2020-01-24 22:26:53.765,540000,a9802ceb-6b80-4065-92e8-e4d28c35982c,a9802ceb-6b80-4065-92e8-e4d28c35982c.extra_data.json,353.17258,
0,60,34320000,2020-01-06 23:00:04.067,4164.3794,189265,4869,2621254,1578355200000,,yFuc3cHWzI,2810519,76,com.sec.android.app.shealth,2020-01-07 17:59:09.151,1032352,c5e95fff-1f37-4b67-945e-207cf2a4e3cb,c5e95fff-1f37-4b67-945e-207cf2a4e3cb.extra_data.json,204.50827,
0,60,38580000,2019-12-14 23:00:02.560,2151.7996,50060,2604,1383316,1576368000000,,yFuc3cHWzI,1433376,38,com.sec.android.app.shealth,2019-12-15 21:30:53.909,360000,530df1cf-b181-44e6-b631-243d2bb24e93,530df1cf-b181-44e6-b631-243d2bb24e93.extra_data.json,100.201904,
0,60,31020000,2020-02-03 23:00:00.461,7096.904,85090,8797,5116248,1580774400000,,yFuc3cHWzI,5201338,143,com.sec.android.app.shealth,2020-02-04 18:26:50.555,970440,dcc03a36-2574-40df-9b65-03e805dda446,dcc03a36-2574-40df-9b65-03e805dda446.extra_data.json,328.82587,
0,60,24840000,2020-02-02 23:01:00.205,5987.136,78039,7378,4271375,1580688000000,,yFuc3cHWzI,4349414,120,com.sec.android.app.shealth,2020-02-03 22:55:31.153,669332,a276b049-db97-4391-849b-f3764563f727,a276b049-db97-4391-849b-f3764563f727.extra_data.json,278.8927,
0,60,30960000,2020-01-29 23:00:02.115,5464.5186,62602,6788,3940792,1580342400000,,yFuc3cHWzI,4003394,110,com.sec.android.app.shealth,2020-01-30 20:30:27.153,732609,7a1a7270-9eec-4f75-b993-a6d051d22754,7a1a7270-9eec-4f75-b993-a6d051d22754.extra_data.json,254.45589,
0,60,28020000,2019-12-20 23:00:00.612,6199.924,125641,7614,4289161,1576886400000,,yFuc3cHWzI,4414802,121,com.sec.android.app.shealth,2019-12-21 19:08:21.669,1693173,a0243f92-5d0c-4023-a57e-74131321d80d,a0243f92-5d0c-4023-a57e-74131321d80d.extra_data.json,291.1102,
0,60,23340000,2020-01-12 23:00:01.855,6054.0474,355875,6739,3520637,1578873600000,,yFuc3cHWzI,3876512,105,com.sec.android.app.shealth,2020-01-13 20:04:00.704,1157551,11215be7-b41a-4325-abc5-8a39cf055dda,11215be7-b41a-4325-abc5-8a39cf055dda.extra_data.json,323.35114,
0,60,37200000,2020-02-08 23:00:00.404,2122.2239,21200,2610,1451669,1581206400000,,yFuc3cHWzI,1472869,40,com.sec.android.app.shealth,2020-02-09 22:42:34.298,360000,5eb3eae5-4ad9-4455-aa7a-b0ae8e652281,5eb3eae5-4ad9-4455-aa7a-b0ae8e652281.extra_data.json,97.05841,
0,60,33720000,2020-02-09 23:00:00.376,5144.5894,62853,6262,3320243,1581292800000,,yFuc3cHWzI,3383096,93,com.sec.android.app.shealth,2020-02-10 20:21:22.538,1453385,b09beed9-36bd-490d-9c84-db77cbaa04dc,b09beed9-36bd-490d-9c84-db77cbaa04dc.extra_data.json,235.25621,
0,60,34020000,2020-02-04 23:00:00.386,3672.3792,11020,4547,2599058,1580860800000,,yFuc3cHWzI,2610078,71,com.sec.android.app.shealth,2020-02-05 22:57:17.914,1875716,563d7db3-41e1-4bd5-9388-47d7e71bd7f5,563d7db3-41e1-4bd5-9388-47d7e71bd7f5.extra_data.json,166.52731,
0,60,35700000,2020-02-14 23:00:01.443,2479.5781,78041,2905,1651484,1581724800000,,yFuc3cHWzI,1729525,46,com.sec.android.app.shealth,2020-02-15 22:10:53.276,240000,efad3c68-acd5-4e16-9328-225a3bab4943,efad3c68-acd5-4e16-9328-225a3bab4943.extra_data.json,119.93602,
0,60,41160000,2019-12-26 23:00:00.551,5984.574,59200,7412,4347754,1577404800000,,yFuc3cHWzI,4406954,120,com.sec.android.app.shealth,2019-12-27 23:04:28.414,1285794,60a4c887-a7df-4c98-bbe6-940c7f874796,60a4c887-a7df-4c98-bbe6-940c7f874796.extra_data.json,278.6092,
0,60,37500000,2020-01-18 23:00:00.675,1813.5537,58363,2162,1264524,1579392000000,,yFuc3cHWzI,1322887,35,com.sec.android.app.shealth,2020-01-19 20:23:38.297,120000,a42fe159-3dcc-4dab-a15c-7297ca74bbf4,a42fe159-3dcc-4dab-a15c-7297ca74bbf4.extra_data.json,86.84281,
0,60,33240000,2020-02-20 23:00:00.455,5677.7295,80816,6860,3616145,1582243200000,,yFuc3cHWzI,3696961,101,com.sec.android.app.shealth,2020-02-21 21:21:11.194,1544025,718300e4-78bb-4e05-8b44-6a908570e30c,718300e4-78bb-4e05-8b44-6a908570e30c.extra_data.json,263.20935,
0,60,33960000,2020-02-15 23:00:01.447,621.6924,16400,736,436825,1581811200000,,yFuc3cHWzI,453225,11,com.sec.android.app.shealth,2020-02-16 22:16:42.074,60000,6def934f-6943-4bce-9c84-d0a325bb6f38,6def934f-6943-4bce-9c84-d0a325bb6f38.extra_data.json,31.126717,
