com.samsung.shealth.step_daily_trend,6100041,6
create_time,distance,count,source_type,day_time,speed,deviceuuid,pkg_name,update_time,binning_data,datauuid,calorie,source_pkg_name
2019-12-30 09:50:43.230,2614.6885,3049,-2,1577664000000,1.9226484,VfS0qUERdZ,com.sec.android.app.shealth,2019-12-30 22:34:16.151,85518524-c9d1-4a53-864a-bea32608ffb4.binning_data.json,85518524-c9d1-4a53-864a-bea32608ffb4,123.95076,com.sec.android.app.shealth,
2019-12-20 06:55:01.431,6938.416,8622,-2,1576800000000,1.6121321,VfS0qUERdZ,com.sec.android.app.shealth,2019-12-20 21:58:00.825,3c084cf3-a38e-4613-b27e-b7fd38868a7e.binning_data.json,3c084cf3-a38e-4613-b27e-b7fd38868a7e,322.9771,com.sec.android.app.shealth,
2019-12-31 11:39:50.697,838.58344,931,-2,1577750400000,1.9892735,VfS0qUERdZ,com.sec.android.app.shealth,2019-12-31 23:00:02.214,44e7e7f5-1ad2-4268-ad7f-728b201fa366.binning_data.json,44e7e7f5-1ad2-4268-ad7f-728b201fa366,42.37106,com.sec.android.app.shealth,
2019-12-29 23:00:01.588,5420.873,6711,0,1577577600000,4.761734,yFuc3cHWzI,com.sec.android.app.shealth,2019-12-29 23:00:01.588,72af3187-411f-4258-b305-690b3f4caf68.binning_data.json,72af3187-411f-4258-b305-690b3f4caf68,248.88477,com.sec.android.app.shealth,
2020-01-01 23:00:01.044,483.5868,482,0,1577836800000,4.194136,yFuc3cHWzI,com.sec.android.app.shealth,2020-01-01 23:00:01.044,247cc7ca-2116-4b9a-bc32-4bd21c6b0665.binning_data.json,247cc7ca-2116-4b9a-bc32-4bd21c6b0665,26.384777,com.sec.android.app.shealth,
2020-01-03 14:14:17.957,305.7367,362,-2,1578009600000,1.916437,VfS0qUERdZ,com.sec.android.app.shealth,2020-01-03 21:50:00.837,6338100b-2810-45ae-8dbc-7b9033a494fc.binning_data.json,6338100b-2810-45ae-8dbc-7b9033a494fc,13.948185,com.sec.android.app.shealth,
2019-12-23 14:04:45.759,2469.798,2891,-2,1577059200000,1.7302425,VfS0qUERdZ,com.sec.android.app.shealth,2019-12-23 22:52:00.779,fd5cf995-b08c-4843-94ca-444bfeec60e5.binning_data.json,fd5cf995-b08c-4843-94ca-444bfeec60e5,119.786545,com.sec.android.app.shealth,
2020-01-04 23:00:01.443,2071.1897,2461,0,1578096000000,5.3011436,yFuc3cHWzI,com.sec.android.app.shealth,2020-01-04 23:00:01.443,efc18e5d-4734-4906-995d-af1fedac760b.binning_data.json,efc18e5d-4734-4906-995d-af1fedac760b,97.15396,com.sec.android.app.shealth,
2019-12-27 23:00:01.447,5913.8613,7412,0,1577404800000,6.9376626,yFuc3cHWzI,com.sec.android.app.shealth,2019-12-27 23:00:22.671,2e2af7c6-aea8-4d24-82a3-9dd3defb27d0.binning_data.json,2e2af7c6-aea8-4d24-82a3-9dd3defb27d0,275.31616,com.sec.android.app.shealth,
2020-01-06 09:20:11.942,2326.2153,2713,-2,1578268800000,1.9050146,VfS0qUERdZ,com.sec.android.app.shealth,2020-01-06 20:33:03.582,3d1907cb-a11b-41a8-9448-d5524adc5af6.binning_data.json,3d1907cb-a11b-41a8-9448-d5524adc5af6,115.09826,com.sec.android.app.shealth,
2019-12-26 11:09:17.293,1506.5732,1788,-2,1577318400000,1.8092142,VfS0qUERdZ,com.sec.android.app.shealth,2019-12-26 22:33:44.665,a7d0a228-6888-40bd-acb9-3768bd9b4177.binning_data.json,a7d0a228-6888-40bd-acb9-3768bd9b4177,72.45355,com.sec.android.app.shealth,
2019-12-30 23:00:01.631,2614.6885,3049,0,1577664000000,3.8288777,yFuc3cHWzI,com.sec.android.app.shealth,2019-12-30 23:00:01.631,5037b143-b34a-456c-b7c1-f60004e9a80f.binning_data.json,5037b143-b34a-456c-b7c1-f60004e9a80f,123.95076,com.sec.android.app.shealth,
2020-01-09 11:40:31.820,594.7491,687,-2,1578528000000,1.8733008,VfS0qUERdZ,com.sec.android.app.shealth,2020-01-09 22:42:26.130,536a4527-4a9b-406c-b400-2bb57d15d2e8.binning_data.json,536a4527-4a9b-406c-b400-2bb57d15d2e8,29.307632,com.sec.android.app.shealth,
2020-01-07 23:00:01.413,4164.3794,4869,0,1578355200000,4.774627,yFuc3cHWzI,com.sec.android.app.shealth,2020-01-07 23:00:01.413,dc4e87fd-9146-4226-ae45-8442bbba8d93.binning_data.json,dc4e87fd-9146-4226-ae45-8442bbba8d93,204.50829,com.sec.android.app.shealth,
2020-01-02 13:02:20.536,347.4046,400,-2,1577923200000,2.0160623,VfS0qUERdZ,com.sec.android.app.shealth,2020-01-02 19:47:04.365,c9682501-67c2-4cb0-b663-3d7afde1ceb3.binning_data.json,c9682501-67c2-4cb0-b663-3d7afde1ceb3,16.567564,com.sec.android.app.shealth,
2020-01-12 09:51:25.475,1427.6089,1706,-2,1578787200000,1.6364787,VfS0qUERdZ,com.sec.android.app.shealth,2020-01-12 20:44:41.727,108cafca-e29a-4559-b67d-aa60d00d93f4.binning_data.json,108cafca-e29a-4559-b67d-aa60d00d93f4,66.418106,com.sec.android.app.shealth,
2020-01-05 09:34:48.107,1239.8262,1500,-2,1578182400000,1.7369436,VfS0qUERdZ,com.sec.android.app.shealth,2020-01-05 22:50:20.931,0e82b7a3-e6aa-42a0-b72c-77a0ca7223c3.binning_data.json,0e82b7a3-e6aa-42a0-b72c-77a0ca7223c3,58.262466,com.sec.android.app.shealth,
2019-12-29 09:10:44.785,5420.873,6711,-2,1577577600000,1.6396343,VfS0qUERdZ,com.sec.android.app.shealth,2019-12-29 22:44:05.511,759ece1b-abba-4b46-9a69-620f76fa8fe6.binning_data.json,759ece1b-abba-4b46-9a69-620f76fa8fe6,248.88477,com.sec.android.app.shealth,
2020-01-10 23:00:11.141,81.03168,92,0,1578614400000,2.2139447,yFuc3cHWzI,com.sec.android.app.shealth,2020-01-10 23:00:11.141,81410783-ab3c-4e2e-9ec0-9571dc74c754.binning_data.json,81410783-ab3c-4e2e-9ec0-9571dc74c754,4.1935215,com.sec.android.app.shealth,
2020-01-02 23:00:01.469,347.4046,400,0,1577923200000,6.9444447,yFuc3cHWzI,com.sec.android.app.shealth,2020-01-02 23:00:01.469,b3a47b32-c3b7-4998-9078-7d0cc199f38a.binning_data.json,b3a47b32-c3b7-4998-9078-7d0cc199f38a,16.567564,com.sec.android.app.shealth,
2020-01-15 09:38:07.284,62.118164,69,-2,1579046400000,1.9140962,VfS0qUERdZ,com.sec.android.app.shealth,2020-01-15 16:17:04.917,3f8f1799-eb32-4cd6-a344-cc30138c2934.binning_data.json,3f8f1799-eb32-4cd6-a344-cc30138c2934,3.3765564,com.sec.android.app.shealth,
2019-12-31 23:02:07.718,483.5868,482,-2,1577836800000,2.2102802,VfS0qUERdZ,com.sec.android.app.shealth,2020-01-01 21:41:29.273,27662a77-7ca5-4dd6-b8f6-821cf789c64a.binning_data.json,27662a77-7ca5-4dd6-b8f6-821cf789c64a,26.384777,com.sec.android.app.shealth,
2020-01-08 09:58:26.374,67.41356,71,-2,1578441600000,1.9493616,VfS0qUERdZ,com.sec.android.app.shealth,2020-01-08 17:10:39.528,cfcbbe29-35cd-4f8b-8cdc-3dd1950ff2bc.binning_data.json,cfcbbe29-35cd-4f8b-8cdc-3dd1950ff2bc,3.2625766,com.sec.android.app.shealth,
2020-01-13 23:00:01.789,6054.047,6739,0,1578873600000,4.923475,yFuc3cHWzI,com.sec.android.app.shealth,2020-01-13 23:00:01.789,ad2874e6-2e75-4a5c-bb10-dd84b83a798d.binning_data.json,ad2874e6-2e75-4a5c-bb10-dd84b83a798d,323.35114,com.sec.android.app.shealth,
2020-01-05 23:00:02.203,1239.8262,1500,0,1578182400000,4.80988,yFuc3cHWzI,com.sec.android.app.shealth,2020-01-05 23:00:02.203,51844727-d1d8-4d6f-acdd-8b02f963657a.binning_data.json,51844727-d1d8-4d6f-acdd-8b02f963657a,58.262466,com.sec.android.app.shealth,
