com.samsung.shealth.tracker.pedometer_step_count,6100041,2
duration,run_step,version_code,walk_step,com.samsung.health.step_count.create_time,com.samsung.health.step_count.distance,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.custom,com.samsung.health.step_count.count,com.samsung.health.step_count.end_time,com.samsung.health.step_count.speed,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.start_time,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.update_time,com.samsung.health.step_count.datauuid,com.samsung.health.step_count.calorie,com.samsung.health.step_count.sample_position_type
3605,0,4,9,1629451173610,7.205078,UTC+0300,,9,1629451200000,1.9982624,yFuc3cHWzI,1629451140000,com.sec.android.app.shealth,1629451173610,f440416f-9f83-4df8-9f2f-124ca3952ad5,0.31188965,,
7520,0,4,15,1629318338058,12.92627,UTC+0300,,15,1629318360000,1.7188611,yFuc3cHWzI,1629318300000,com.sec.android.app.shealth,1629318345608,ea711733-58c9-465a-8df7-8e60ab9b2626,0.62106323,,
9064,0,4,12,1629452636004,10.736328,UTC+0300,,12,1629452580000,1.1843821,yFuc3cHWzI,1629452520000,com.sec.android.app.shealth,1629452636004,f52638b1-a775-4984-a995-46b2e5e240ff,0.44055176,,
12712,0,4,29,1629449137356,23.463867,UTC+0300,,29,1629449160000,1.8457575,yFuc3cHWzI,1629449100000,com.sec.android.app.shealth,1629449145543,6aff8c12-3e75-4333-baa4-8427ffe7062d,1.0051575,,
9795,3,4,22,1629465137552,22.625977,UTC+0300,,25,1629465180000,2.3098426,yFuc3cHWzI,1629465120000,com.sec.android.app.shealth,1629465190130,52742b14-ad8e-4e81-bb0f-4f02688d7033,1.1119995,,
9758,0,4,22,1629465000118,17.789062,UTC+0300,,22,1629465060000,1.822886,yFuc3cHWzI,1629465000000,com.sec.android.app.shealth,1629465019524,22f9b5fd-ecc7-46a4-9b15-0973f910ec9b,0.76309204,,
6115,0,4,14,1629363129187,13.203125,UTC+0300,,14,1629363180000,2.1588113,yFuc3cHWzI,1629363120000,com.sec.android.app.shealth,1629363153029,f314f448-4b2f-42bc-955c-49ad9a1b530e,0.7449951,,
36184,0,4,62,1629465499552,47.13965,UTC+0300,,62,1629465420000,1.3027594,yFuc3cHWzI,1629465360000,com.sec.android.app.shealth,1629465499552,683f3417-e0a2-4514-83dd-2ae831674a38,2.179016,,
2804,0,4,7,1629465499601,6.2509766,UTC+0300,,7,1629465540000,2.2286992,yFuc3cHWzI,1629465480000,com.sec.android.app.shealth,1629465499601,8a5bff97-d8c7-4127-b49f-b5c3a34a90b7,0.25906372,,
5157,0,4,12,1629451094574,10.194336,UTC+0300,,12,1629451140000,1.9765526,yFuc3cHWzI,1629451080000,com.sec.android.app.shealth,1629451098222,44c39939-5b5c-4057-a719-c0bdb09d7e5a,0.42907715,,
20916,0,4,44,1629492999556,36.555664,UTC+0300,,44,1629493020000,1.7477221,yFuc3cHWzI,1629492960000,com.sec.android.app.shealth,1629493019659,20dc19ee-3d8c-4e03-8bc2-0a8abfdbad85,1.8302612,,
4653,0,4,12,1629382546139,10.418457,UTC+0300,,12,1629382560000,2.2390666,yFuc3cHWzI,1629382500000,com.sec.android.app.shealth,1629382546139,8690dbe4-bb27-4c86-b799-eade4951ded7,0.42401123,,
2992,0,4,7,1629452181862,5.3808594,UTC+0300,,7,1629452220000,1.798202,yFuc3cHWzI,1629452160000,com.sec.android.app.shealth,1629452182089,bb65d068-58d9-4e83-b13f-9e326fa787e9,0.2453003,,
23658,11,4,44,1629497580489,47.589844,UTC+0300,,55,1629497640000,2.0115125,yFuc3cHWzI,1629497580000,com.sec.android.app.shealth,1629497700153,00a63b18-5a5a-4602-b710-256d761607f6,2.364563,,
1045,0,4,2,1629497940932,1.5400391,UTC+0300,,2,1629498000000,1.4734952,yFuc3cHWzI,1629497940000,com.sec.android.app.shealth,1629497942536,474cabb8-485c-4384-ada0-55d4265d2629,0.069885254,,
8049,0,4,16,1629623977019,12.751953,UTC+0300,,16,1629624000000,1.5841913,yFuc3cHWzI,1629623940000,com.sec.android.app.shealth,1629623978648,61b0d188-0f84-4f18-ae13-517072a41e5d,0.5555725,,
4487,0,4,9,1629394120719,6.864258,UTC+0300,,9,1629394140000,1.5294871,yFuc3cHWzI,1629394080000,com.sec.android.app.shealth,1629394127059,0a9f150a-cb57-466a-860e-d46806f95085,0.3206482,,
60000,79,4,39,1629629700130,125.3125,UTC+0300,,118,1629629400000,2.0885417,yFuc3cHWzI,1629629340000,com.sec.android.app.shealth,1629629700130,8755ba32-701e-4829-ae1c-1569fe625a82,7.8851624,,
24261,0,4,55,1629464976057,45.09961,UTC+0300,,55,1629465000000,1.8589048,yFuc3cHWzI,1629464940000,com.sec.android.app.shealth,1629464999724,25366fec-1b3b-4995-a327-94013e5b3b1d,1.9375916,,
11711,0,4,29,1629630378199,23.49121,UTC+0300,,29,1629630420000,2.0057912,yFuc3cHWzI,1629630360000,com.sec.android.app.shealth,1629630897344,b819c5e3-34c7-4961-ace9-7c34f7f1740e,1.014801,,
6122,0,4,14,1629493158331,11.402344,UTC+0300,,14,1629493200000,1.8623949,yFuc3cHWzI,1629493140000,com.sec.android.app.shealth,1629493161678,2aab8d94-f632-4bb8-88b8-93fe37c09f62,0.4841919,,
29505,5,4,64,1629630897468,55.782227,UTC+0300,,69,1629630900000,1.8905867,yFuc3cHWzI,1629630840000,com.sec.android.app.shealth,1629630897468,b94c35c3-9751-4e88-8c51-78ad4e9fa1b6,2.5966492,,
60000,0,4,71,1629465300368,53.323242,UTC+0300,,71,1629465360000,0.8887207,yFuc3cHWzI,1629465300000,com.sec.android.app.shealth,1629465354661,6459733e-86c4-46cd-8a58-5b56de0b0a36,2.514618,,
8671,0,4,20,1629446326394,15.577148,UTC+0300,,20,1629446340000,1.7963444,yFuc3cHWzI,1629446280000,com.sec.android.app.shealth,1629446332479,aeb95188-35f1-47b0-afd9-0e483291ec1b,0.70214844,,
42444,0,4,90,1629637435493,73.86328,UTC+0300,,90,1629637380000,1.7402127,yFuc3cHWzI,1629637320000,com.sec.android.app.shealth,1629637435493,036d9186-3df1-43f6-a9ad-ccd6509d0fd9,3.375061,,
60000,7,4,92,1629497700352,80.581055,UTC+0300,,99,1629497760000,1.3430176,yFuc3cHWzI,1629497700000,com.sec.android.app.shealth,1629497759604,94523f09-c134-46f4-bb4b-c26dcab45691,3.9141235,,
5570,0,4,11,1629638100106,8.59375,UTC+0300,,11,1629637740000,1.5427905,yFuc3cHWzI,1629637680000,com.sec.android.app.shealth,1629638100106,c4911654-e194-40a9-920f-cedf83606882,0.38287354,,
2390,0,4,6,1629484963686,4.6503906,UTC+0300,,6,1629484980000,1.945369,yFuc3cHWzI,1629484920000,com.sec.android.app.shealth,1629484963686,ce300fef-7f9e-422f-9697-30867a786659,0.21206665,,
25191,0,4,66,1629290022516,53.84326,UTC+0300,,66,1629290040000,2.1373594,yFuc3cHWzI,1629289980000,com.sec.android.app.shealth,1629290040805,9872e9c0-5911-41a7-98cf-3e2882774339,2.3154297,,
18822,0,4,42,1629579808742,35.564453,UTC+0300,,42,1629579840000,1.8894527,yFuc3cHWzI,1629579780000,com.sec.android.app.shealth,1629579824239,c844bb73-c1f6-4bee-85df-31e770edaf19,1.6938782,,
2470,2,4,6,1629318669468,13.801758,UTC+0300,,8,1629318720000,5.586058,yFuc3cHWzI,1629318660000,com.sec.android.app.shealth,1629318670573,127fc7be-dc98-4f47-968a-a65a209605b3,0.94039917,,
9882,1,4,24,1629450960365,21.339844,UTC+0300,,25,1629451020000,2.159313,yFuc3cHWzI,1629450960000,com.sec.android.app.shealth,1629450998976,b870c0de-282e-4609-8dd3-407e74a4028e,0.8788452,,
3283,0,4,10,1629363670758,8.246094,UTC+0300,,10,1629363720000,2.5112677,yFuc3cHWzI,1629363660000,com.sec.android.app.shealth,1629363672347,b9695784-b0fd-420d-8950-e17ac17e454b,0.3302307,,
7228,0,4,18,1629497577499,14.37207,UTC+0300,,18,1629497580000,1.9882714,yFuc3cHWzI,1629497520000,com.sec.android.app.shealth,1629497579720,16cdd3da-d884-4b3f-83d1-27d3bec00689,0.64315796,,
7951,2,4,16,1629390247786,19.223633,UTC+0300,,18,1629390300000,2.4174721,yFuc3cHWzI,1629390240000,com.sec.android.app.shealth,1629390250230,7a3ff77e-ca28-42f7-b7a5-f2a172d1bf97,1.2302856,,
8042,8,4,16,1629629153637,22.199219,UTC+0300,,24,1629629160000,2.7601464,yFuc3cHWzI,1629629100000,com.sec.android.app.shealth,1629629159061,486d1dd9-682e-476e-a69e-f5d1d8c6e969,1.1832886,,
