com.samsung.shealth.rewards,6100041,4
is_visible,create_time,time_offset,program_id,end_time,device_type,title,exercise_type,exercise_session_id,deviceuuid,start_time,pkg_name,update_time,number_of_streak,datauuid,extra_data,controller_id,source_pkg_name
1,2019-12-28 15:32:28.153,UTC+0200,,2019-12-27 23:00:00.000,10009,tracker_pedometer_reward_target_achieved,,,yFuc3cHWzI,2019-12-27 23:00:00.000,com.sec.android.app.shealth,2020-01-02 23:00:01.404,,e9954794-fd58-4bc2-9ac3-b93d1865ee78,"{""mTarget"":6000,""mValue"":8232}",tracker.pedometer,,
0,2019-12-17 14:55:01.294,UTC+0200,,2019-12-17 14:55:01.278,,goal_activity_reward_goal_achieved,,,yFuc3cHWzI,2019-12-17 14:55:01.278,com.sec.android.app.shealth,2019-12-20 17:15:01.203,,d383ad4a-ac26-41f3-987c-4ee5ae9278a6,"{""mIsCompleted"":false,""mValue"":90,""mValue2"":60}",goal.activity,,
1,2020-01-13 18:30:58.706,UTC+0200,,2020-01-12 23:00:00.000,10009,tracker_pedometer_reward_target_achieved,,,yFuc3cHWzI,2020-01-12 23:00:00.000,com.sec.android.app.shealth,2020-01-18 23:00:01.353,,263775a7-464c-4724-aa72-acc35f051b78,"{""mTarget"":6000,""mValue"":6739}",tracker.pedometer,,
1,2019-12-28 15:33:14.247,UTC+0200,,2019-12-27 23:00:00.000,100003,tracker_pedometer_reward_target_achieved,,,yFuc3cHWzI,2019-12-27 23:00:00.000,com.sec.android.app.shealth,2020-01-02 23:00:30.294,,f0f7f4a2-908d-45d8-8350-2f646bcabf70,"{""mTarget"":6000,""mValue"":8232}",tracker.pedometer,,
1,2019-12-21 15:38:37.857,UTC+0200,,2019-12-20 23:00:00.000,100003,tracker_pedometer_reward_target_achieved,,,yFuc3cHWzI,2019-12-20 23:00:00.000,com.sec.android.app.shealth,2019-12-26 23:00:01.861,,28fd505a-ead1-4546-9889-19e68b045cfe,"{""mTarget"":6000,""mValue"":7614}",tracker.pedometer,,
1,2020-01-22 17:50:01.234,UTC+0200,,2020-01-21 23:00:00.000,100003,tracker_pedometer_reward_target_achieved,,,yFuc3cHWzI,2020-01-21 23:00:00.000,com.sec.android.app.shealth,2020-01-27 23:00:02.264,,130a06a5-b022-4fbf-bcb2-f7cf7fe81fcb,"{""mTarget"":6000,""mValue"":7024}",tracker.pedometer,,
1,2020-01-21 18:05:20.489,UTC+0200,,2020-01-20 23:00:00.000,10009,tracker_pedometer_reward_target_achieved,,,yFuc3cHWzI,2020-01-20 23:00:00.000,com.sec.android.app.shealth,2020-01-26 23:00:00.765,,abb39e2e-cf6f-4e11-bfda-34b126e2e4f2,"{""mTarget"":6000,""mValue"":7075}",tracker.pedometer,,
1,2020-01-13 18:31:09.351,UTC+0200,,2020-01-12 23:00:00.000,100003,tracker_pedometer_reward_target_achieved,,,yFuc3cHWzI,2020-01-12 23:00:00.000,com.sec.android.app.shealth,2020-01-18 23:00:02.599,,ecf23a91-17cc-4f72-8d29-95ef5ed78aaa,"{""mTarget"":6000,""mValue"":6739}",tracker.pedometer,,
1,2019-12-27 16:55:01.136,UTC+0200,,2019-12-26 23:00:00.000,100003,tracker_pedometer_reward_target_achieved,,,yFuc3cHWzI,2019-12-26 23:00:00.000,com.sec.android.app.shealth,2020-01-01 23:00:01.376,,01dc38db-082c-4c76-a76a-53393420b272,"{""mTarget"":6000,""mValue"":7412}",tracker.pedometer,,
1,2019-12-21 15:34:24.652,UTC+0200,,2019-12-20 23:00:00.000,10009,tracker_pedometer_reward_target_achieved,,,yFuc3cHWzI,2019-12-20 23:00:00.000,com.sec.android.app.shealth,2019-12-26 23:00:01.245,,72eba159-e941-4a5b-8695-e799f5e350ae,"{""mTarget"":6000,""mValue"":7614}",tracker.pedometer,,
0,2020-01-13 18:45:28.443,UTC+0200,,2020-01-13 18:45:28.396,,goal_activity_reward_goal_achieved,,,yFuc3cHWzI,2020-01-13 18:45:28.396,com.sec.android.app.shealth,2020-01-14 18:38:18.098,,3e1c099c-6f7e-4e72-8fc9-8b512a77d0b3,"{""mIsCompleted"":false,""mValue"":63,""mValue2"":60}",goal.activity,,
1,2020-01-24 17:13:31.587,UTC+0200,,2020-01-23 23:00:00.000,100003,tracker_pedometer_reward_target_achieved,,,yFuc3cHWzI,2020-01-23 23:00:00.000,com.sec.android.app.shealth,2020-01-29 23:00:04.080,,bb3bf444-432d-4dff-b775-dbdc504d53a6,"{""mTarget"":6000,""mValue"":8177}",tracker.pedometer,,
1,2020-01-21 18:07:02.377,UTC+0200,,2020-01-20 23:00:00.000,100003,tracker_pedometer_reward_target_achieved,,,yFuc3cHWzI,2020-01-20 23:00:00.000,com.sec.android.app.shealth,2020-01-26 23:00:01.334,,b38a7e26-48a3-40bb-b08e-f82b2a561742,"{""mTarget"":6000,""mValue"":7075}",tracker.pedometer,,
1,2020-01-23 17:11:33.619,UTC+0200,,2020-01-22 23:00:00.000,10009,tracker_pedometer_reward_target_achieved,,,yFuc3cHWzI,2020-01-22 23:00:00.000,com.sec.android.app.shealth,2020-01-28 23:00:01.834,,0b48468b-5937-467d-bebd-c28611f619c2,"{""mTarget"":6000,""mValue"":7250}",tracker.pedometer,,
1,2019-12-27 16:55:00.348,UTC+0200,,2019-12-26 23:00:00.000,10009,tracker_pedometer_reward_target_achieved,,,yFuc3cHWzI,2019-12-26 23:00:00.000,com.sec.android.app.shealth,2020-01-01 23:00:00.857,,137d250e-1e8a-4541-a3e0-685ba95be55f,"{""mTarget"":6000,""mValue"":7412}",tracker.pedometer,,
1,2019-12-29 16:25:36.839,UTC+0200,,2019-12-28 23:00:00.000,100003,tracker_pedometer_reward_target_achieved,,,yFuc3cHWzI,2019-12-28 23:00:00.000,com.sec.android.app.shealth,2020-01-03 23:00:02.144,,8edc2e84-444d-442c-8e55-02eb65a6a75d,"{""mTarget"":6000,""mValue"":6711}",tracker.pedometer,,
